,SVFNR,HEINUM,POSTNR,HEITI_NF,HEITI_TGF,HUSNR,NAKV_XY,HNIT,N_HNIT_WGS84,E_HNIT_WGS84,HUSMERKING,municipality,houses
8309,0,1004874,112.0,Fannafold,Fannafold,203.0,,POINT (364064 406946),64.13835267,-21.79271935,203,Reykjavík,"Fannafold 203, 112"
75924,0,1004875,112.0,Fannafold,Fannafold,205.0,,POINT (364048 406964),64.13850764,-21.79306396,205,Reykjavík,"Fannafold 205, 112"
8310,0,1004876,112.0,Fannafold,Fannafold,207.0,,POINT (364031 406979),64.13863532,-21.79342637,207,Reykjavík,"Fannafold 207, 112"
75925,0,1004877,112.0,Fannafold,Fannafold,209.0,,POINT (364010 406987),64.13869869,-21.7938645,209,Reykjavík,"Fannafold 209, 112"
4262,0,1004725,112.0,Fannafold,Fannafold,21.0,,POINT (363468 406797),64.13678084,-21.80481204,21,Reykjavík,"Fannafold 21, 112"
8311,0,1004878,112.0,Fannafold,Fannafold,211.0,,POINT (363987 406993),64.13874334,-21.79434186,211,Reykjavík,"Fannafold 211, 112"
75926,0,1004879,112.0,Fannafold,Fannafold,213.0,,POINT (363987 407025),64.1390301,-21.7943709,213,Reykjavík,"Fannafold 213, 112"
8312,0,1004880,112.0,Fannafold,Fannafold,215.0,,POINT (364011 407031),64.13909338,-21.79388391,215,Reykjavík,"Fannafold 215, 112"
14519,0,1090188,112.0,Fannafold,Fannafold,217.0,,POINT (364042 407023),64.13903398,-21.79324059,217A,Reykjavík,"Fannafold 217, 112"
6286,0,1004881,112.0,Fannafold,Fannafold,219.0,,POINT (364054 407012),64.13894016,-21.79298439,219,Reykjavík,"Fannafold 219, 112"
4263,0,1004726,112.0,Fannafold,Fannafold,22.0,,POINT (363500 406784),64.13667708,-21.80414368,22,Reykjavík,"Fannafold 22, 112"
8313,0,1004882,112.0,Fannafold,Fannafold,221.0,,POINT (364076 406996),64.13880549,-21.79251848,221,Reykjavík,"Fannafold 221, 112"
8314,0,1004884,112.0,Fannafold,Fannafold,223.0,,POINT (364093 406978),64.13865092,-21.79215336,223A,Reykjavík,"Fannafold 223, 112"
75928,0,1004885,112.0,Fannafold,Fannafold,225.0,,POINT (364144 407026),64.13910126,-21.79115045,225,Reykjavík,"Fannafold 225, 112"
